,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30
Revenue (亿美元),,58.0,61.68,54.73,58.35,68.19
Gross Profit (亿美元),,27.47,29.11,25.6,28.64,34.19
Gross Profit Margin,,47.36%,47.2%,46.78%,49.08%,50.14%
Operating Profit (亿美元),,2.24,3.42,0.36,2.69,7.24
Operating Profit Margin,,3.86%,5.54%,0.66%,4.61%,10.62%
Pretax Profit (亿美元),,2.57,3.64,0.64,2.99,7.37
Pretax Profit Margin,,4.43%,5.9%,1.17%,5.12%,10.81%
Net Profit (亿美元),,2.99,6.67,1.23,2.65,7.71
Net Profit Margin,,5.16%,10.81%,2.25%,4.54%,11.31%
Asset (亿美元),,676.26,678.85,678.95,678.86,696.36
Asset Turnover,,0.08576582971046638,0.09085954187228401,0.08060976507842993,0.0859529210735645,0.09792348785111149
Free Cash Flow (亿美元),,2.97,2.42,3.79,4.39,4.96
Invest Cash Flow (亿美元),,1.02,1.5,-1.35,3.86,-1.38
Operating Cash Flow (亿美元),,4.21,3.81,5.21,5.93,6.28
Capital Expenditure (亿美元),,-1.24,-1.39,-1.42,-1.54,-1.32
