,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Revenue (亿美元),609.22,269.74,269.14,166.75
Gross Profit (亿美元),443.01,153.56,174.75,103.96
Gross Profit Margin,72.72%,56.93%,64.93%,62.34%
Operating Profit (亿美元),329.72,55.77,100.41,45.32
Operating Profit Margin,54.12%,20.68%,37.31%,27.18%
Pretax Profit (亿美元),338.18,41.81,99.41,44.09
Pretax Profit Margin,55.51%,15.5%,36.94%,26.44%
Net Profit (亿美元),297.6,43.68,97.52,43.32
Net Profit Margin,48.85%,16.19%,36.23%,25.98%
Asset (亿美元),657.28,411.82,441.87,287.91
Asset Turnover,0.9268804771178188,0.6549949006847652,0.6090931721999683,0.5791740474453823
Free Cash Flow (亿美元),270.21,38.08,81.32,46.94
Invest Cash Flow (亿美元),-105.66,73.75,-98.3,-196.75
Operating Cash Flow (亿美元),280.9,56.41,91.08,58.22
Capital Expenditure (亿美元),-10.69,-18.33,-9.76,-11.28
